family,item,badge
Ambient,Cursor-reactive experience,
Ambient,Digital sky,
Ambient,Digital snow globe,
Ambient,Digital sculpture,
Ambient,Digital window,
Ambient,Endless loop,
Ambient,Generative pattern,
Ambient,Living texture,
Ambient,Mirror,
Ambient,Screensaver,
Ambient,Slow-motion scene,
Ambient,Sound-reactive field,
Ambient,Tiny diorama,
Collection,Archive,
Collection,Catalogue,
Collection,Curated collection,
Collection,Directory,
Collection,Gallery,
Commerce,Made-to-order service,
Commerce,Marketplace,
Commerce,Product catalogue,
Commerce,Shop,
Community,Exchange,
Community,Forum,
Community,Guestbook,
Community,Shared board,
Community,Social ritual,
Creative studio,Collaborative canvas,
Creative studio,Design tool,
Creative studio,Image maker,
Creative studio,Music maker,
Creative studio,Writing space,
Game,Adventure game,
Game,Arcade game,
Game,Puzzle game,
Game,Rhythm game,
Game,Simulation game,
Game,Strategy game,
Game,Trivia game,
Game,Word game,
Learning,Challenge,
Learning,Guide,
Learning,Lesson,
Learning,Practice space,
Learning,Reference library,
Live experience,Collective visualisation,
Live experience,Live dashboard,
Live experience,Living feed,
Live experience,Time-based experience,
Live experience,Weather-reactive experience,
Map & explorer,Data explorer,
Map & explorer,Digital tour,
Map & explorer,Map,
Map & explorer,Timeline,
Map & explorer,Topic explorer,
Personal space,Digital garden,
Personal space,Digital room,
Personal space,Journal,
Personal space,Personal homepage,
Personal space,Profile,
Publication,Almanac,
Publication,Exhibition,
Publication,Fanzine,
Publication,Field guide,
Publication,Newsletter,
Publication,Visual essay,
Publication,Zine,
Self-discovery,Compatibility experience,
Self-discovery,Daily reading,
Self-discovery,Interactive assessment,
Self-discovery,Quiz,
Self-discovery,Reflection prompt,
Simulator,Scenario simulator,
Simulator,Virtual environment,
Simulator,What if? tool,
Simulator,World model,
Story,Branching story,
Story,Interactive story,
Story,Scrollable story,
Story,Story world,
Tool,Calculator,
Tool,Converter,
Tool,Decision tool,
Tool,Planner,
Tool,Prompt tool,
Tool,Randomizer,
Tool,Timer,
Tool,Tracker,
Toy,Digital fidget toy,
Toy,Drawing toy,
Toy,Fortune teller,
Toy,Generator,
Toy,Oracle,
Toy,Remix toy,
Toy,Soundboard,
